flu	ふゅ	
flo	ふょ	
hwlu	ふゅ	
mla	みゃ	
mli	みぃ	
mlu	みゅ	
mle	みぇ	
mlo	みょ	
rla	りゃ	
rli	りぃ	
rlu	りゅ	
rle	りぇ	
rlo	りょ	
xli	ぃ	
xle	ぇ	
le	いぇ	
jla	じゃ	
jli	じぃ	
jlu	じゅ	
jle	じぇ	
jlo	じょ	
xla	ゃ	
la	や	
wli	ゐ	
xlu	ゅ	
lu	ゆ	
wle	ゑ	
xlo	ょ	
lo	よ	
csa	つぁ	
csi	つぃ	
cse	つぇ	
cso	つぉ	
c'i	てぃ	
c'yu	てゅ	
cwa	とぁ	
cwi	とぃ	
cwu	とぅ	
cwe	とぇ	
cwo	とぉ	
c'u	とぅ	
ca	た	
ci	ち	
cu	つ	
csu	つ	
ce	て	
co	と	
xcu	っ	
xcsu	っ	
lcu	っ	
lcsu	っ	
c'lu	てゅ	
